127.0.0.1 - - [08/May/2024:17:05:56 -0400] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [08/May/2024:17:08:43 -0400] "GET /j2eeProject/ HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [08/May/2024:17:08:45 -0400] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:37 -0400] "GET /j2eeProject/ HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:37 -0400] "GET /css/bootstrap.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:42 -0400] "GET /j2eeProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:42 -0400] "GET /css/bootstrap.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:42 -0400] "GET /j2eeProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:42 -0400] "GET /css/bootstrap.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:43 -0400] "GET /j2eeProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:43 -0400] "GET /css/bootstrap.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:56 -0400] "GET /j2eeProject/ HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:57 -0400] "GET /j2eeProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:57 -0400] "GET /j2eeProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:57 -0400] "GET /j2eeProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:57 -0400] "GET /j2eeProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:57 -0400] "GET /j2eeProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:17:38:58 -0400] "GET /j2eeProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2024:17:39:50 -0400] "GET /j2eeProject/ HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [08/May/2024:17:39:50 -0400] "GET /j2eeProject/css/bootstrap.css HTTP/1.1" 200 195704
